node_id,longitude,latitude
251361752,77.5712945,13.0018873
251361753,77.57119,13.006416
295732932,77.5747634,13.0147431
295734675,77.5716558,13.0085658
295735337,77.5691921,13.0073057
295735339,77.5692822,13.0036784
295735340,77.5693482,13.0010225
295735341,77.5693925,12.9992403
295747252,77.5616633,13.0115424
295747253,77.5631913,13.0089426
308063204,77.5716076,12.9910161
316660383,77.5742242,12.9927556
316660565,77.5748234,12.9923291
316660603,77.5699025,12.9963034
316660604,77.5732449,12.9963692
316660684,77.5735575,12.995717
316660721,77.5737,12.995049
316660937,77.5714721,12.9941886
316660939,77.5738387,12.9943787
426841174,77.5640033,13.007564
426841176,77.571172,13.0071967
426935890,77.5577216,13.0098807
426935891,77.5591873,13.0107601
426962372,77.5760131,12.9957767
426962375,77.5773943,12.9957859
426962377,77.5781648,12.9954874
426962381,77.5645834,12.996231
426962387,77.5684647,12.9968277
426962394,77.5744544,12.9968828
426962396,77.5730354,13.0037004
426962399,77.5738999,12.9998845
426962401,77.5732552,13.0010337
426962404,77.5753831,13.0010339
426962406,77.5731133,13.0010337
426962409,77.5713142,13.0010334
426962411,77.5730912,13.0013677
426962417,77.5796682,13.0018436
426962419,77.5730683,13.0018803
426962426,77.5728284,13.0018816
426962427,77.5693259,13.0019218
426962428,77.5653832,13.0018391
426962429,77.5633885,13.0017972
426962433,77.5757211,13.0094062
426962434,77.5804998,13.0091818
426962435,77.5804662,13.0114521
426962437,77.578622,13.0071288
426962438,77.5775774,13.0078524
426962442,77.5760403,13.0089234
426962446,77.575401,13.0116702
427531036,77.571408,12.996965
427531037,77.575415,12.9919113
427531038,77.5748247,12.9911391
427531040,77.577113,12.9936739
427531043,77.5815919,12.9981295
427531047,77.5824773,12.9993088
427531048,77.5813262,12.9990175
427531049,77.5783881,12.9991964
427531050,77.5781011,12.9992748
427531052,77.5731506,12.9989324
427531053,77.5744013,12.9989261
427531054,77.5714129,12.9967545
427531060,77.571818,12.9989186
427531068,77.5779603,12.99212
427531069,77.5781316,12.9945302
427531071,77.5754299,12.9969275
427593065,77.5731496,12.9992617
427593067,77.5648095,12.9991507
427593069,77.5614249,13.0040203
427593071,77.5662287,12.9963549
427593072,77.5654952,12.998133
427593073,77.562291,13.007649
427593074,77.5624452,13.0037052
427593075,77.5629605,13.0026221
427593076,77.5699962,13.0036714
427593077,77.5731639,12.998362
427593078,77.5654926,12.9982629
427593079,77.5694152,12.998329
427593080,77.571376,12.9983558
427593082,77.5718735,12.9969681
427593083,77.5716864,13.0033673
427593084,77.5778535,13.006224
427593085,77.569213,13.0064639
427593086,77.5752918,13.0071741
427593087,77.5753555,13.0044703
427593088,77.5778627,13.0053673
427593089,77.5623576,13.0058269
427593090,77.563895,13.0018079
427593091,77.5637124,13.0075784
427593092,77.5636892,13.0080972
427593094,77.5602448,13.0083914
427593095,77.5622564,13.0089843
427593096,77.5622693,13.0083332
427593097,77.5635873,13.0082702
427593098,77.5637883,13.0056979
427593099,77.563855,13.0036986
427593100,77.5653044,13.0036936
427593101,77.5681428,13.008676
427593103,77.5667143,13.0056226
427593105,77.5669122,12.9991921
427593106,77.5669299,12.9982911
427593107,77.5669548,12.9975597
427593108,77.5684252,12.9975936
427593109,77.5658746,12.9975286
427593110,77.567724,12.9975783
427593111,77.5675227,13.001884
427593112,77.5693706,13.0001232
427593113,77.5642496,12.9999842
427593114,77.5654468,13.0000153
427593115,77.566875,13.0000532
427593116,77.5676261,13.000072
427593117,77.5683205,13.0000845
427593118,77.5658723,12.9982718
427593119,77.5658368,13.0000247
427593121,77.5650922,13.0000071
427593122,77.5647765,12.9999943
427593124,77.5660874,13.0018539
427593125,77.566178,13.0000381
427593126,77.5662428,12.9975456
427593127,77.5666301,12.9975542
427593128,77.5665482,13.0000431
427593129,77.5672619,13.0000616
427593130,77.5673672,12.99757
427593131,77.5679821,13.0000775
427593132,77.5680852,12.9975862
427593133,77.5694329,12.9976128
427593134,77.5732065,12.9976775
427593135,77.571844,12.998004
427593136,77.5731876,12.9980079
427593137,77.573224,12.9973109
427593138,77.5718644,12.9972895
427593141,77.5707973,13.0054389
427593142,77.5708221,13.0035209
427593143,77.5703983,13.0085112
427593144,77.5704247,13.0054575
427593145,77.5705167,13.0018971
427593146,77.5706132,12.998346
427593147,77.5701576,12.9983397
427593148,77.5698134,13.0072655
427593149,77.5698105,13.0085768
427593153,77.5666607,13.0087564
427593154,77.5721571,13.0063856
427593155,77.5723325,12.9992788
427593156,77.5721492,13.0034231
427593158,77.5712605,13.0033605
427593164,77.5698231,12.9976185
427593165,77.5697779,12.9992397
427593166,77.5784992,13.0018492
427593168,77.5778301,13.0018524
427593170,77.5778369,13.0028164
427593173,77.5722163,13.0028256
427593174,77.5756074,13.0018658
427593176,77.5756409,13.0054157
427593178,77.5768253,13.0062532
427593179,77.5768034,13.0028212
427593180,77.5638056,13.0046268
427593182,77.5607649,13.0067741
427593183,77.5667068,13.0065898
427593185,77.5611166,13.0090204
427593186,77.5613961,13.0090125
427593187,77.5614047,13.0083605
427593188,77.5607926,13.009028
427593189,77.5608184,13.0083795
427593190,77.5604899,13.0083895
427593191,77.5604748,13.0090378
427593192,77.5608234,13.0080866
427593193,77.5603306,13.008101
427593204,77.5740719,12.999421
427593205,77.5740629,13.0018706
427593206,77.5740326,13.0028048
427593207,77.5736885,13.002819
427593208,77.5737735,13.0010338
427593209,77.5743412,13.0028123
427593210,77.5744689,12.9994227
427593211,77.5781306,12.9994944
427593212,77.5748051,12.9989422
427593213,77.5747085,13.0018614
427593214,77.5744444,13.0000729
427593216,77.5782124,13.0001951
427593217,77.5750419,13.0018589
427593218,77.5751037,12.9989544
427593219,77.5754545,12.9989601
427593220,77.5753544,13.0018684
427593221,77.5756942,13.0018626
427593222,77.5757465,12.9989655
427593223,77.5760772,12.9989696
427593224,77.576025,13.001861
427593225,77.5760368,13.0012075
427593227,77.5755852,13.0022854
427593228,77.5743603,13.0023047
427593229,77.5743502,13.0025721
427593230,77.5755897,13.0025388
427593231,77.5750953,13.0018661
427593232,77.5750853,13.0023066
427593233,77.5750945,13.0020699
427593234,77.5743691,13.0020711
427593235,77.5746113,13.0028219
427593236,77.5745902,13.0037957
427593238,77.5756238,13.0044517
427593239,77.5745782,13.0041475
427593240,77.576831,13.0041182
427593242,77.574624,13.0032016
427593243,77.5730387,13.0032299
427593244,77.5725556,13.0032988
427593246,77.5736288,13.0043761
427593247,77.5735864,13.0054169
427593248,77.573572,13.0063455
427593249,77.5733386,13.0041517
427593250,77.5734079,13.0018607
427593251,77.5734389,13.0010337
427593252,77.5736802,13.0032282
427593254,77.5727227,13.0034281
427593255,77.5726761,13.0054391
427593256,77.5726657,13.0063712
427593257,77.573119,13.0063601
427593258,77.573202,13.0039897
427593259,77.5718896,13.0054416
427593260,77.5718659,13.0063939
427593261,77.5716485,13.0064001
427593262,77.5716653,13.0054409
427593263,77.5707672,13.0064246
427593264,77.5711813,13.0067922
427593267,77.5726722,13.0072696
427593268,77.5707519,13.0084887
427593269,77.5707533,13.0072177
427593272,77.5687938,12.9933914
427593276,77.5739348,12.9939134
427593277,77.5742409,12.9944416
427593278,77.5745495,12.9950916
427593279,77.5745567,12.9957413
427593280,77.5718542,12.9976457
427593281,77.5713924,12.9976416
427593282,77.5709761,12.9976355
427593283,77.5718341,12.9983575
427593284,77.5701185,12.999253
427593285,77.5706071,12.999259
427593286,77.5683987,12.9983168
427593287,77.5680587,12.9983127
427593288,77.5676865,12.9983041
427593289,77.5673365,12.9982979
427593290,77.566606,12.9982846
427593291,77.5662155,12.9982779
427593292,77.566194,12.999178
427593293,77.5658504,12.9991712
427593294,77.5654742,12.9991638
427593295,77.5672984,12.9991999
427593296,77.5680142,12.999214
427593297,77.5683643,12.999221
427593298,77.5668074,13.001869
427593299,77.5682606,13.0018995
427593300,77.5667685,13.0036878
427593301,77.5681646,13.0055491
427593303,77.5704159,13.006435
427593304,77.5699421,13.005474
427593305,77.5712126,13.0054364
427593306,77.5704134,13.007235
427593308,77.5681333,13.0073589
427593309,77.5666883,13.0074306
427593310,77.5762154,13.0025153
427593312,77.5761981,13.0028227
427593313,77.5761808,13.0018603
427593314,77.5762039,13.0022948
427593315,77.5770596,13.0018561
427593316,77.5770678,13.0028178
427593317,77.5773761,13.0028202
427593318,77.577371,13.0018546
427593319,77.5771825,13.0028149
427593320,77.577198,13.0047141
427593321,77.5756284,13.0047121
427593323,77.5791659,13.0046944
427593324,77.5786155,13.0057777
427593326,77.5823358,13.0029238
427593327,77.5823271,13.0042936
427593328,77.5812335,12.997743
427593329,77.5794655,12.9978486
427593331,77.5817923,12.9992824
427593332,77.5818149,12.9991548
427593333,77.5816696,12.9998696
427593335,77.5816507,13.0004839
427593336,77.578346,12.99833
427593337,77.5806333,12.9977721
427593338,77.5810085,13.0050901
427593339,77.5791944,13.0018459
427593340,77.5791349,13.0054664
427593341,77.5802503,13.0047981
427593343,77.5805139,13.0046402
427593346,77.575217,13.0062988
427593347,77.5768263,13.0053899
427593348,77.5768152,13.004716
427593349,77.5756179,13.0041249
427593350,77.5756143,13.0038195
427593351,77.5755947,13.0028173
427593353,77.5733683,13.0032326
427593354,77.5737503,13.0018648
427593355,77.57409,13.0010341
427593356,77.5744082,13.0010332
427593357,77.5747358,13.0010342
427593358,77.5750594,13.0010339
427593359,77.5717585,13.0010336
427593360,77.5722713,13.0010336
427593361,77.5705345,13.0010235
427593363,77.5700762,13.0010274
427593364,77.5700533,13.0019105
427593365,77.5722414,13.001882
427593366,77.5717354,13.0018883
427593367,77.5718075,12.9992856
427593370,77.5698011,12.9983347
427593371,77.5747891,12.9994234
427593372,77.5750937,12.9994244
427593373,77.5754385,12.9994257
427593374,77.57574,12.9994267
427593375,77.5760699,12.9994278
427593376,77.5760568,13.0000944
427593377,77.5757261,13.00009
427593378,77.5754158,13.0000856
427593379,77.5750797,13.0000814
427593380,77.5747675,13.0000771
427593381,77.5741213,13.0000685
427593382,77.5743765,13.0018746
427593383,77.5721695,13.0054428
427593384,77.5731541,13.0054296
427593385,77.5778454,13.0047096
427593386,77.5809904,13.0043546
427593387,77.5823296,13.0035522
427593388,77.5807198,12.9993431
427593389,77.5807033,12.9990356
427593390,77.5806614,12.9981723
427593391,77.5795008,12.9982546
427593392,77.5795285,12.999406
427593393,77.5796399,13.0027838
427593394,77.5785508,13.0027908
427593395,77.5799283,13.0027924
427593396,77.5665764,12.9991856
427593397,77.5676641,12.9992071
