source,target,distance_meters,travel_time_seconds
251361752,427593145,84.28860671337524,6.713251862127232
251361752,10063063242,83.9067519015478,6.13820516584585
251361752,427593366,47.77087604388377,3.8047600388933973
251361753,427593263,45.81712931139999,3.649151892058406
251361753,427593264,41.84220855122761,3.0609701228919444
295732932,461539208,70.1250586395717,12.622510555122906
295732932,461539214,117.07277442809098,7.024366465685459
295734675,10850753029,3.512332565891237,0.2528879447441691
295734675,1947653236,810.6202947844372,58.364661224479484
295735337,427593085,93.63140565412033,6.741461207096664
295735337,10063089203,48.53905721814567,3.4948121197064888
295735339,10060562682,44.45787857279808,3.200967257241462
295735339,427593076,77.36271404342547,13.925288527816583
295735339,427593398,117.58618706734251,21.165513672121648
295735340,427593112,100.02718497259275,7.201957318026678
295735340,618712334,42.49531159022427,7.649156086240367
295735341,427593079,101.3619222227963,7.2980584000413335
295735341,427593165,41.757864965458126,3.325847652116134
295747252,460976026,244.97524920517122,17.63821794277233
295747252,10032974893,342.96022223658036,24.693136001033785
295747253,608492801,143.21913203161355,10.311777506276176
295747253,427593097,86.20252258199297,6.206581625903494
295747253,460976026,88.15997923792351,6.347518505130493
308063204,7135058060,158.3343080821061,11.58295900835942
308063204,456029872,104.5524149552439,18.819434691943904
316660383,1617398521,13.533563367377747,0.9900489137204683
316660383,10063706439,169.46956802641694,30.504522244755048
316660565,456036778,102.5138632290562,18.452495381230115
316660565,427531037,79.17869388534427,5.792323702414491
316660603,456029895,117.84264066764344,21.211675320175818
316660604,316660684,80.04051200797579,5.855370076305395
316660604,456029943,89.46644034527974,16.10395926215035
316660604,456029931,9.828867801494845,1.7691962042690719
316660684,316660721,75.8659708403284,5.549981182329906
316660684,456034395,57.864536603307975,10.415616588595435
316660684,456029932,39.53057116980192,7.115502810564345
316660721,456029939,44.76332025418422,8.05739764575316
316660721,456029933,51.80875138111611,9.3255752486009
316660721,316660939,76.04475600444077,5.563060225351603
316660937,967505456,144.17552912932678,25.951595243278817
316660937,650617133,45.928194310517924,8.267074975893225
316660937,428054932,79.65798343659841,5.827386167982173
316660939,2536352368,64.21169770959776,11.558105587727596
316660939,427593276,52.77752439989203,3.860944030965363
316660939,427593277,44.17910846251244,7.9522395232522385
426841174,427593091,31.557294173682582,2.272125180505146
426841174,12289606136,118.06980235145892,8.501025769305043
426841174,427593092,68.36126260555532,4.922010907599983
426841176,460976146,55.32846009700418,9.959122817460752
426841176,427593269,45.42298983270778,3.27045526795496
426841176,11898236317,141.87620954371357,10.378965489614982
426935890,9673347001,35.60789194349005,2.8360267919593847
426935890,1563683754,80.33466432090972,14.460239577763751
426935890,1563683805,36.68105438788771,2.921499906999906
426935891,1563683841,85.03067614818166,6.12220868266908
426935891,9673346998,15.39838913071927,1.1086840174117876
426935891,610180628,19.024422509910558,1.5152194919397788
426962372,461755137,17.769329658640135,3.198479338555224
426962372,6152779685,81.69612798264711,14.70530303687648
426962372,456036797,35.13068663427328,2.798019289455394
426962372,456036838,20.703845983374745,1.6489788836316168
426962375,456036812,29.26520935273004,5.267737683491407
426962375,456036814,18.129472824314632,3.2633051083766333
426962375,10063594246,42.35553914176294,7.623997045517329
426962377,461755220,69.53509840145904,12.516317712262627
426962377,461754927,22.498176328856587,4.049671739194185
426962377,6196897701,52.0887490532575,9.37597482958635
426962377,461754937,86.04322595632641,15.487780672138753
426962381,10079168131,30.176606816016978,5.431789226883056
426962381,3919859738,9.131844044495585,1.643731928009205
426962381,12736500201,73.3153895136687,5.278708044984147
426962387,3919859759,8.194717255782447,0.6526765955932922
426962387,427593108,85.2717782330146,6.791557558381694
426962387,11898860861,107.28861173191481,7.724780044697867
426962394,3422923601,22.27788210110738,1.7743445921235967
426962394,456029945,54.3204416516645,9.77767949729961
426962394,456029941,44.420836938155816,3.5379427649858615
426962396,427593258,36.88673280561416,6.639611905010548
426962396,427593243,52.31850856389133,9.417331541500438
426962396,427593254,45.438285743723085,8.178891433870154
426962399,9190087430,93.0928494089147,16.756712893604647
426962399,427593204,54.80454643393536,9.864818358108364
426962399,10063063251,127.80279652184971,23.00450337393295
426962401,427593251,19.902923159546866,3.5825261687184353
426962401,426962406,15.374114296260073,2.767340573326813
426962401,426962411,41.17083157114073,7.410749682805331
426962401,9190087430,52.59442018941794,9.466995634095229
